config	name	base	base_name	presets	preset_id	preset_items	preset_encyclopedia	preset_parent_is_root	n_required	required	includedParts
ARMOR/6B23/CLEARSKY_STALKER/ARMOR_6B23_CLEARSKY_STALKER.jsonc	6B23-1 body armor (S.T.A.L.K.E.R. "Clear Sky")	5c0e5bab86f77461f55ed1f3	6B23-1 body armor (EMR)	1	65765cb6b7ea14f3b70da689	9	5c0e5bab86f77461f55ed1f3	True	7	Soft_armor_front|Soft_armor_back|Soft_armor_left|soft_armor_right|Collar|Groin|Groin_back	0
ARMOR/6B23/KLMK/ARMOR_6B23_KLMK.jsonc	6B23-1 body armor (Solnechnye Zaychiki)	5c0e5bab86f77461f55ed1f3	6B23-1 body armor (EMR)	1	65765cb6b7ea14f3b70da689	9	5c0e5bab86f77461f55ed1f3	True	7	Soft_armor_front|Soft_armor_back|Soft_armor_left|soft_armor_right|Collar|Groin|Groin_back	0
ARMOR/6B23/SKOL/ARMOR_6B23_SKOL.jsonc	6B23-1 body armor (Izlom)	5c0e5bab86f77461f55ed1f3	6B23-1 body armor (EMR)	1	65765cb6b7ea14f3b70da689	9	5c0e5bab86f77461f55ed1f3	True	7	Soft_armor_front|Soft_armor_back|Soft_armor_left|soft_armor_right|Collar|Groin|Groin_back	0
ARMOR/6B23/TTSKO5/ARMOR_6B23_TTSKO5.jsonc	6B23-1 body armor (TTsKO Forest)	5c0e5bab86f77461f55ed1f3	6B23-1 body armor (EMR)	1	65765cb6b7ea14f3b70da689	9	5c0e5bab86f77461f55ed1f3	True	7	Soft_armor_front|Soft_armor_back|Soft_armor_left|soft_armor_right|Collar|Groin|Groin_back	0
ARMOR/6B2/OLIVEDRAB/ARMOR_6B2_OLIVE.jsonc	6B2 body armor (Olive Drab)	5df8a2ca86f7740bfe6df777	6B2 body armor (Flora)	1	6571211af1074598bf0c02b4	3	5df8a2ca86f7740bfe6df777	True	2	Soft_armor_front|Soft_armor_back	0
ARMOR/6B43/BLACK/ARMOR_6B43_BLACK.jsonc	6B43 6A Zabralo-Sh body armor (Black)	545cdb794bdc2d3a198b456a	6B43 Zabralo-Sh body armor (EMR)	1	65766adc234b9f6e050a431a	13	545cdb794bdc2d3a198b456a	True	8	Soft_armor_front|Soft_armor_back|Soft_armor_left|soft_armor_right|Collar|Shoulder_l|Shoulder_r|Groin	0
ARMOR/6B43/FLORA/ARMOR_6B43_FLORA.jsonc	6B43 6A Zabralo-Sh body armor (Flora)	545cdb794bdc2d3a198b456a	6B43 Zabralo-Sh body armor (EMR)	1	65766adc234b9f6e050a431a	13	545cdb794bdc2d3a198b456a	True	8	Soft_armor_front|Soft_armor_back|Soft_armor_left|soft_armor_right|Collar|Shoulder_l|Shoulder_r|Groin	0
ARMOR/IOTVASSAULT/DIGITALTIGERSTRIPE/GEN4_ASSAULT_DIGITALTIGERSTRIPE.jsonc	IOTV Gen4 body armor (Assault Kit, USAF Digital Tiger Stripe)	5b44cf1486f77431723e3d05	IOTV Gen4 body armor (Assault Kit, MultiCam)	1	657668ad86f11bca4106d38b	12	5b44cf1486f77431723e3d05	True	7	Soft_armor_front|Soft_armor_back|Soft_armor_left|soft_armor_right|Collar|Shoulder_l|Shoulder_r	11
ARMOR/IOTVFULL/DIGITALTIGERSTRIPE/GEN4_FULL_DIGITALTIGERSTRIPE.jsonc	IOTV Gen4 body armor (Full Protection, USAF Digital Tiger Stripe)	5b44cd8b86f774503d30cba2	IOTV Gen4 body armor (Full Protection Kit, MultiCam)	1	65766910303700411c0242da	14	5b44cd8b86f774503d30cba2	True	9	Soft_armor_front|Soft_armor_back|Soft_armor_left|soft_armor_right|Collar|Shoulder_l|Shoulder_r|Groin|Groin_back	0
ARMOR/IOTVMOBILITY/DIGITALTIGERSTRIPE/GEN4_MOBILITY_DIGITALTIGERSTRIPE.jsonc	IOTV Gen4 body armor (High Mobility Kit, USAF Digital Tiger Stripe)	5b44d0de86f774503d30cba8	IOTV Gen4 body armor (High Mobility Kit, MultiCam)	1	65766582234b9f6e050a42c1	10	5b44d0de86f774503d30cba8	True	7	Soft_armor_front|Soft_armor_back|Soft_armor_left|soft_armor_right|Collar|Groin|Groin_back	0
